0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:48:59 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:48:59 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:48:59 +0900] "GET /selfstudyORtest/.../resources/blockimages/0.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:48:59 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:00 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:00 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:00 +0900] "GET /selfstudyORtest/.../resources/blockimages/0.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:00 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:00 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:00 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:00 +0900] "GET /selfstudyORtest/.../resources/blockimages/0.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:00 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:00 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:00 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:00 +0900] "GET /selfstudyORtest/.../resources/blockimages/0.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:00 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /selfstudyORtest/.../resources/blockimages/0.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /selfstudyORtest/.../resources/blockimages/0.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /selfstudyORtest/.../resources/blockimages/0.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /selfstudyORtest/.../resources/blockimages/0.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:01 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:02 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:02 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:02 +0900] "GET /selfstudyORtest/.../resources/blockimages/0.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:02 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:02 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:02 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:02 +0900] "GET /selfstudyORtest/.../resources/blockimages/0.png HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:49:02 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
